day,word,count,tfidf
23,accord,5,0.016194938245443956
23,act,3,0.010983314182537314
23,affect,4,0.017804129374653345
23,agency,4,0.02996363718037237
23,allow,3,0.01121450195883686
23,angeles,15,0.03942623775747886
23,angeles area,2,0.004065728450988669
23,angeles county,2,0.009092239063916235
23,angeles county fire,2,0.009092239063916235
23,announce,3,0.012133296425365023
23,approach,2,0.003094119469573037
23,area,6,0.01377128721292046
23,argue,2,0.006002846935546358
23,artist,4,0.011394972274198802
23,available,2,0.008297737905647515
23,away,2,0.008925046576353984
23,baby,3,0.010079461172830078
23,baby rod,2,0.004065728450988669
23,baby rod stewart,2,0.004065728450988669
23,bad,2,0.011574815709171364
23,base,2,0.014236235045599763
23,battle,3,0.011792760604032865
23,beach,3,0.016185791459605768
23,benefit,4,0.010301851471880686
23,bill,5,0.01784204781395373
23,billion,3,0.01388537053199675
23,blaze,5,0.020800548181406767
23,blood,2,0.012680967216612453
23,california,25,0.067052709116808
23,california water,2,0.011629977576944818
23,californian,2,0.00983417661041091
23,call,3,0.014276255138513229
23,canada,2,0.01299523617878278
23,canadian,2,0.01299523617878278
23,canadian good,2,0.01299523617878278
23,car,2,0.005918824667713949
23,cause,5,0.018551378844010584
23,celebrity,2,0.0033724824199735273
23,center,2,0.0172231326097018
23,central,2,0.01712736319835263
23,change,4,0.01186437283812945
23,change relate,2,0.008395376357846011
23,check,3,0.00521059179315766
23,checker,3,0.00521059179315766
23,checker crowdsourced,2,0.003473727862105106
23,city,3,0.006411327441309823
23,claim,4,0.016338412552497468
23,clear,2,0.0109684507895031
23,climate,8,0.02332755450892393
23,climate change,4,0.01186437283812945
23,climate change relate,2,0.008395376357846011
23,close,2,0.008739264230400967
23,collaborate,2,0.01606621916140083
23,come,2,0.011015927996773575
23,community,11,0.03721696560511414
23,community los,3,0.005956866983337584
23,community los angeles,3,0.005956866983337584
23,company,6,0.018009872391536532
23,completely,2,0.009832563653651202
23,concern,2,0.01047490634422099
23,concert,5,0.012349319094407004
23,damage,5,0.022501998632489886
23,department,3,0.01624815081385932
23,destroy,4,0.01349688448285953
23,devastating,4,0.013823439606212405
23,devastation,5,0.017473248744662467
23,disaster,17,0.03840941402370394
23,displace,3,0.01113038108114697
23,donald,4,0.02014493468572123
23,donald trump,4,0.02014493468572123
23,donate,3,0.009936249678106045
23,donation,4,0.01774398232574155
23,drive,3,0.008779478297379208
23,early,3,0.008215185513506033
23,eaton,5,0.028816356812890395
23,eaton fire,3,0.019561565790473252
23,emergency,5,0.013183250619495712
23,escape,5,0.01097960616919405
23,evacuation,4,0.016559605054983252
23,expect,3,0.015001169796166176
23,expert,3,0.013935526198293652
23,facebook,5,0.009979801775070796
23,fact,6,0.01042118358631532
23,fact check,3,0.00521059179315766
23,fact checker,3,0.00521059179315766
23,family,5,0.018891803753829706
23,federal,3,0.01017037184097645
23,find,3,0.007492881789599804
23,fire,37,0.0842123296115773
23,fireaid,3,0.0071799294401205475
23,fireaid benefit,3,0.0071799294401205475
23,firefighter,4,0.019789185492753724
23,firefighting,3,0.023215432106687993
23,flame,4,0.0153341531953009
23,flee,3,0.009118862324284247
23,follow,3,0.019759699760058244
23,fossil,3,0.01494789853446243
23,fossil fuel,3,0.01494789853446243
23,friend,3,0.015300222023107744
23,fuel,3,0.01494789853446243
23,fund,3,0.011959065201730186
23,future,3,0.011175244971497944
23,gaga,2,0.004065728450988669
23,gaga earth,2,0.004065728450988669
23,gaga earth wind,2,0.004065728450988669
23,gas,2,0.008395376357846011
23,gas company,2,0.008395376357846011
23,gavin,2,0.012825860300131435
23,gavin newsom,2,0.012825860300131435
23,girlfriend,2,0.004065728450988669
23,girlfriend sixty,2,0.004065728450988669
23,girlfriend sixty pop,2,0.004065728450988669
23,go,4,0.024944005409821154
23,good,2,0.01299523617878278
23,government,2,0.007257789024439439
23,hard,2,0.011684445736867163
23,help,4,0.01833409869431
23,highlight,2,0.0033724824199735273
23,history,2,0.005789816639968212
23,hit,2,0.012258060885610642
23,hold,2,0.004065728450988669
23,hole,2,0.0069359873955268
23,hollywood,2,0.0033724824199735273
23,home,20,0.06175926713949429
23,homeowner,2,0.007954051816765641
23,hospital,3,0.026245867783250575
23,host,2,0.009680794546503765
23,hot,2,0.011618859725307972
23,house,2,0.01194387611598541
23,hurricane,2,0.006347505526981527
23,icon,3,0.005168209058442423
23,icon marianne,2,0.004065728450988669
23,icon marianne faithfull,2,0.004065728450988669
23,impact,5,0.019196792228202083
23,importance,2,0.0033724824199735273
23,importance stay,2,0.0033724824199735273
23,include,6,0.014085765912276494
23,increase,2,0.0109684507895031
23,instagram,2,0.005874637746757928
23,insurance,6,0.020845564762198003
23,insurer,4,0.01661795665803357
23,international,2,0.009261418239041495
23,intuit,2,0.005591186360467088
23,intuit dome,2,0.005591186360467088
23,jagger,2,0.004065728450988669
23,jagger lead,2,0.004065728450988669
23,jagger lead tribute,2,0.004065728450988669
23,jan,5,0.030622744345756316
23,january,2,0.0047598702284330375
23,john,2,0.003094119469573037
23,jr,2,0.0056994471735441615
23,kia,2,0.005591186360467088
23,kia forum,2,0.005591186360467088
23,know,5,0.019622598217864287
23,la,7,0.028828193200098842
23,lady,2,0.004065728450988669
23,lady gaga,2,0.004065728450988669
23,lady gaga earth,2,0.004065728450988669
23,lake,2,0.008360348035825995
23,large,3,0.008408599705796892
23,late,6,0.014139528718200971
23,late ex,2,0.004065728450988669
23,late ex girlfriend,2,0.004065728450988669
